Observations,Number,Date,Date,Briefing,Special Issue,Commentary,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author 1 Affiliation,Author 2 Affiliation,Author 3 Affiliation,Author 4 Affiliation ,Author 5 Affiliation,Author 6 Affiliation,Author 1 Country,Author 2 Country,Author 3 Country,Author 4 Country,Author 5 Country,Author 6 Country,Journal,Journal Type,Country 1,Country 2,Country 3,Country 4,Country 1 Subregion,Country 2 Subregion,Region 1,Region 2,Region 3,Region 4,Non-African countries/continents/entities featured,Discipline,topics_domestic_politics,topics_international_relations,topics_society,topics_econ,topics: political systems,topics: constitutional issues,topics: justice/ judiciary,topics: legislatures,topics: policy,topics: governance,topics: security & conflict,topics: state/statehood,topics: foreign policy,topics: multilateral interventions,topics: regional issues,topics: UN,topics: land,topics: identity,topics: social sectors,topics: demography,topics: civil society,topics: inequality,topics: service sector,topics: development,topics: industry,topics: trade,topics: investment,topics: resources,topics: aid,topics: debt,topics: colonial legacy,topics: rulers,topics: neopatrimonialism,topics: authoritarianism,topics: democracy/democratization,topics: corruption,topics: rule of law,topics: military,topics: civil conflict,topics: genocide/ethnic violence,topics: citizenship,topics: sovereignty,topics: extra-continental FP,topics: intra-continental FP,topics: FP towards Africa,topics: conflict resolution & peace-building,topics: post-conflict & peace-keeping,topics: regional integration,topics: border issues,topics: regional organization,topics: land access,topics: urbanization,topics: land rights,topics: class,topics: race,topics: ethnicty/chieftancy,topics: sexual identity,topics: gender,topics: religion,topics: national identity/nationalism/patriotism,topics: health,topics: education,topics: public services,topics: age,topics: migration,topics: diaspora,topics: NGO,topics: social/popular movements,topics: human rights,topics: cell phones,topics: mining,topics: manufacturing,topics: agriculture,topics: donors,topics: development aid,topics: humanitarian aid,topics: media,topics: democratic reversal,topics: elections,topics: public opinion/polling,topics: parties,topics: coup,topics: insurgency,topics: AU,topics: Islam,topics: witchcraft/traditional religions,topics: Christianity,topics: HIV/AIDS,topics: immigration,topics: emigration,topics: refugees/IDP,topics: resource curse,topics: youth,topics: music,topics: other,methods: qualitative,methods: quantitative,methods: single case study,methods: multiple case studies,methods: formal model ,methods: statistical methods,methods: existing data set,methods: author's data set,methods: regression analysis,methods: interviews,School of Thought,Fieldwork,bibliography: country- specific (majority of sources = country-specific),bibliography: non-country specific (majority of articles = country-non-specific) 
"""ZANU(PF) strategies in general elections, 1980-2000: Discourse and coercion""",1,5-Jan,Vol. 104 Iss. 414,0,0,0,Norma Kriger,0,0,0,0,0,independent scholar,0,0,0,0,0,USA,0,0,0,0,0,AA,africanist,Zimbabwe,0,0,0,0,0,Southern,0,0,0,0,political science,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,no,1,0
"""Rewriting the African diaspora: Beyond the Black Atlantic""",2,5-Jan,Vol. 104 Iss. 414,0,0,0,Paul Tiyambe Zeleza,0,0,0,0,0,Pennsylvania State University,0,0,0,0,0,USA,0,0,0,0,0,AA,africanist,continental,0,0,0,0,0,continental ,0,0,0,0,international relations ,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,no,0,1
"""Shifting geographies of social inclusion and exclusion: Secondary education in Pietermaritzburg, South Africa""",3,5-Jan,Vol. 104 Iss. 414,0,0,0,Anthony Lemon,0,0,0,0,0,"Mansfield College, University of Oxford",0,0,0,0,0,UK,0,0,0,0,0,AA,africanist,South Africa,0,0,0,Pietermaritzburg,0,Southern,0,0,0,0,geography,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,yes,1,0
"""Japan and the development of Africa: A preliminary evaluation of the Tokyo International Conference on African Development""",4,5-Jan,Vol. 104 Iss. 414,0,0,0,Kweku Ampiah,0,0,0,0,0,University of Stirling,0,0,0,0,0,Scotland,0,0,0,0,0,AA,africanist,continental,0,0,0,0,0,continental ,0,0,0,Japan,political science,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,yes,0,1
"""Briefing: Darfur, Sudan: Prospects for peace""",5,5-Jan,Vol. 104 Iss. 414,1,0,0,Alex de Waal,0,0,0,0,0,Harvard University,0,0,0,0,0,USA,0,0,0,0,0,AA,africanist,Sudan,0,0,0,Darfur,0,"East, Horn",0,0,0,0,political science,1,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,no ,1,0
"""Who are the Darfurians? Arab and African identities, violence and external engagement""",6,5-Apr,Vol.104 Iss.415,0,0,0,Alex de Waal,0,0,0,0,0,Harvard University,0,0,0,0,0,USA,0,0,0,0,0,AA,africanist,Sudan,0,0,0,Darfur,0,"East, Horn",0,0,0,0,political science,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,no ,1,0
"""Malice in Maasailand: The historical roots of current political struggles""",7,5-Apr,Vol.104 Iss.415,0,0,0,Lotte Hughes,0,0,0,0,0,"St. Antony's College, University of Oxford",0,0,0,0,0,UK,0,0,0,0,0,AA,africanist,Kenya,0,0,0,Maasailand,0,East,0,0,0,0,history,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,yes,1,0
"""Popular music, popular politics: Unbwogable and the idioms of freedom in Kenyan popular music""",8,5-Apr,Vol.104 Iss.415,0,0,0,Joyce Nyairo,James Ogude,0,0,0,0,Moi Univeristy,University of Witwatersrand,0,0,0,0,Kenya,South Africa,0,0,0,0,AA,africanist,Kenya,0,0,0,0,0,East,0,0,0,0,political science,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,yes,0,1
"""Entertaining repression: Music and politics in postcolonial Cameroon""",9,5-Apr,Vol.104 Iss.415,0,0,0,Francis B. Nyamnjoh,Jude Fokwang,0,0,0,0,CODESRIA,University of Toronto,0,0,0,0,Senegal,Canada,0,0,0,0,AA,africanist,Cameroon,0,0,0,0,0,Central,0,0,0,0,political science,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,no,0,1
"""The Anglophone Cameroon-Nigeria boundary: Opportunities and conflicts""",10,5-Apr,Vol.104 Iss.415,0,0,0,Piet Konings,0,0,0,0,0,"African Studies Centre, Leiden",0,0,0,0,0,Netherlands,0,0,0,0,0,AA,africanist,Cameroon,Nigeria,0,0,0,0,Central,West,0,0,0,political science,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,oil,1,0,1,0,0,0,0,0,0,0,0,no,1,0
